compound,smiles,bp_celsius,MW,LogP,HBD,HBA,TPSA,RotBonds,AromaticRings,RingCount,HeavyAtoms,MolMR,FractionCSP3,NumAliphaticRings,BertzCT,Chi0,Chi1,Kappa1,Kappa2,LabuteASA,NumHeteroatoms,MaxPartialCharge,MinPartialCharge,NumStereocenters
formaldehyde,C=O,-19.0,30.026,-0.1849,0,1,17.07,0,0,0,2,7.121,0.0,0,2.0,2.0,1.0,1.6699999999999997,0.6700000000000002,12.900773127873316,1,0.1063822536585417,-0.3070970261864102,0
acetaldehyde,CC=O,20.2,44.053,0.2052,0,1,17.07,0,0,0,3,11.738,0.5,0,10.264662506490405,2.7071067811865475,1.4142135623730951,2.67,1.6699999999999997,19.265715242269923,1,0.1164052831422626,-0.3037152698636692,0
propanal,CCC=O,48.8,58.08,0.5952999999999999,0,1,17.07,1,0,0,4,16.355,0.6666666666666666,0,17.24511249783653,3.414213562373095,1.914213562373095,3.67,2.67,25.63065735666653,1,0.1192149442880172,-0.3034142326161929,0
butanal,CCCC=O,74.8,72.107,0.9854,0,1,17.07,2,0,0,5,20.971999999999998,0.75,0,24.82892142331044,4.121320343559642,2.414213562373095,4.67,3.67,31.99559947106314,1,0.1194797811341422,-0.3034030972577946,0
pentanal,CCCCC=O,103.4,86.13399999999999,1.3755,0,1,17.07,3,0,0,6,25.588999999999988,0.8,0,32.919684538544,4.82842712474619,2.914213562373095,5.670000000000001,4.67,38.36054158545974,1,0.1194900211111074,-0.3034029096435604,0
hexanal,CCCCCC=O,128.0,100.161,1.7656,0,1,17.07,4,0,0,7,30.20599999999998,0.8333333333333334,0,41.444678358882754,5.535533905932738,3.414213562373095,6.670000000000001,5.670000000000001,44.72548369985635,1,0.119490197254345,-0.303402908155129,0
benzaldehyde,O=Cc1ccccc1,178.1,106.12399999999997,1.4991,0,1,17.07,1,1,1,8,31.829499999999992,0.0,0,167.00151696675914,5.819990956308912,3.931851652578137,5.035137880986937,2.262450086021194,47.95786733393734,1,0.149548028830363,-0.2978964116504968,0
cinnamaldehyde,O=C/C=C/c1ccccc1,253.0,132.16199999999998,1.8987,0,1,17.07,2,1,1,10,41.54000000000002,0.0,0,223.7433990600969,7.234204518682008,4.931851652578137,6.745874855156431,3.6165878630836255,59.998148530546295,1,0.1423572313677248,-0.2985636600410559,0
acetone,CC(C)=O,56.1,58.080000000000005,0.5952999999999999,0,1,17.07,0,0,0,4,16.355,0.6666666666666666,0,26.264662506490403,3.5773502691896257,1.7320508075688772,3.67,1.0445318352059925,25.63065735666653,1,0.1262679435601437,-0.3003439026871919,0
methyl ethyl ketone,CCC(C)=O,79.6,72.10699999999999,0.9854,0,1,17.07,1,0,0,5,20.971999999999998,0.75,0,38.912609383243264,4.284457050376173,2.270055610029662,4.67,1.9424795640326973,31.995599471063137,1,0.1290650325260376,-0.3000423849594125,0
2-pentanone,CCCC(C)=O,102.4,86.13399999999999,1.3755,0,1,17.07,2,0,0,6,25.588999999999988,0.8,0,47.90013452989013,4.99156383156272,2.770055610029662,5.670000000000001,2.884132762312634,38.36054158545974,1,0.1293295322706002,-0.3000312133185154,0
3-pentanone,CCC(=O)CC,101.7,86.134,1.3755,0,1,17.07,2,0,0,6,25.588999999999988,0.8,0,41.90013452989013,4.99156383156272,2.808060412490447,5.670000000000001,2.884132762312634,38.36054158545974,1,0.1318615217296646,-0.2997406513908195,0
cyclohexanone,O=C1CCCCC1,155.6,98.145,1.5196,0,1,17.07,0,0,1,7,28.091999999999985,0.8333333333333334,1,68.24920506009684,5.112884175122364,3.393846850117352,4.8199250374812594,2.101967961325131,43.719652546327126,1,0.132411327598581,-0.2997179089731855,0
acetophenone,CC(=O)c1ccccc1,202.0,120.15099999999995,1.8892,0,1,17.07,1,1,1,9,36.44650000000001,0.125,0,201.06743705866424,6.69023444431199,4.304530452640311,6.016742712294044,2.4437525520871133,54.32280944833394,1,0.1592984965742936,-0.2945122071568907,0
benzophenone,O=C(c1ccccc1)c1ccccc1,305.4,182.222,2.917600000000001,0,1,17.07,2,2,2,14,56.316500000000026,0.0,0,376.003255415297,9.803118619434356,6.877010097711745,8.696948085233146,3.878969377162453,83.01496154000138,1,0.1925196653354077,-0.2886159649049109,0
methyl isobutyl ketone,CC(=O)CC(C)C,116.5,100.161,1.6215,0,1,17.07,2,0,0,7,30.13599999999998,0.8333333333333334,0,64.58027134782355,5.861807319565799,3.125897657686229,6.670000000000001,2.779490232395047,44.72548369985634,1,0.1295951211737157,-0.3000199627172533,0
formic acid,OC=O,100.8,46.025,-0.2991999999999999,1,1,37.3,0,0,0,3,8.6928,0.0,0,10.264662506490405,2.7071067811865475,1.4142135623730951,2.4699999999999998,1.4699999999999982,17.69500688006933,2,0.2901288276176125,-0.483466609975982,0
acetic acid,CC(=O)O,117.9,60.05200000000001,0.0908999999999999,1,1,37.3,0,0,0,4,13.3098,0.5,0,27.019550008653876,3.5773502691896257,1.7320508075688772,3.47,0.8748582995951415,24.05994899446593,2,0.2996845531582142,-0.481433475172105,0
propionic acid,CCC(=O)O,141.2,74.079,0.481,1,1,37.3,1,0,0,5,17.9268,0.6666666666666666,0,40.1577218810798,4.284457050376173,2.270055610029662,4.469999999999999,1.7581844380403455,30.42489110886254,2,0.3025584374920559,-0.4812379170193394,0
butyric acid,CCCC(=O)O,163.7,88.10599999999998,0.8711,1,1,37.3,2,0,0,6,22.543799999999997,0.75,0,49.50977500432694,4.99156383156272,2.770055610029662,5.469999999999999,2.693713646532438,36.78983322325915,2,0.3028289365794988,-0.4812305164094317,0
valeric acid,CCCCC(=O)O,186.1,102.13299999999998,1.2612,1,1,37.3,3,0,0,7,27.160799999999988,0.8,0,59.10049400592804,5.698670612749268,3.270055610029662,6.47,3.6528153564899446,43.15477533765576,2,0.3028393755682016,-0.4812303907895895,0
hexanoic acid,CCCCCC(=O)O,205.8,116.15999999999998,1.6513,1,1,37.3,4,0,0,8,31.77779999999998,0.8333333333333334,0,68.92878689342031,6.405777393935816,3.770055610029662,7.470000000000001,4.624559505409582,49.51971745205236,2,0.3028395550892085,-0.4812303897890361,0
octanoic acid,CCCCCCCC(=O)O,239.3,144.214,2.4315,1,1,37.3,6,0,0,10,41.0118,0.875,0,89.25838096618138,7.819990956308912,4.770055610029662,9.47,6.588063754427392,62.24960168084558,2,0.3028395565321736,-0.481230389785217,0
decanoic acid,CCCCCCCCCC(=O)O,268.7,172.268,3.2117000000000013,1,1,37.3,8,0,0,12,50.24580000000002,0.9,0,110.40620687739316,9.234204518682008,5.770055610029663,11.47,8.565510983763133,74.97948590963883,2,0.3028395565321837,-0.481230389785217,0
benzoic acid,OC(=O)c1ccccc1,249.2,122.12299999999996,1.3848,1,1,37.3,1,1,1,9,33.4013,0.0,0,203.415952604261,6.69023444431199,4.304530452640311,5.820039011703511,2.306763635550358,52.75210108613335,2,0.3351782346710392,-0.4776392505801173,0
oxalic acid,OC(=O)C(=O)O,365.0,90.03399999999999,-0.8443999999999998,2,2,74.6,0,0,0,6,15.2716,0.0,0,71.5488750216347,5.154700538379252,2.6427344100918364,4.939999999999998,1.3955229556294972,33.01570484670571,4,0.4143587214951982,-0.4728148209556821,0
acrylic acid,OC(=O)C=C,141.0,72.06300000000002,0.257,1,1,37.3,1,0,0,5,17.8328,0.0,0,55.91340299823497,4.284457050376173,2.270055610029662,4.21,1.5215264797507788,29.735288076678287,2,0.3271981122452583,-0.4780891485530972,0
methyl acetate,COC(C)=O,57.1,74.079,0.1793,0,2,26.3,0,0,0,5,17.689999999999998,0.6666666666666666,0,40.1577218810798,4.284457050376173,2.270055610029662,4.469999999999999,1.7581844380403455,30.74420258617341,2,0.3018471669894446,-0.4691981070510483,0
ethyl acetate,CCOC(C)=O,77.1,88.106,0.5694,0,2,26.3,1,0,0,6,22.30699999999999,0.75,0,49.50977500432694,4.99156383156272,2.770055610029662,5.469999999999999,2.693713646532438,37.10914470057002,2,0.3021127777269908,-0.4661718899744166,0
propyl acetate,CCCOC(C)=O,101.5,102.13299999999998,0.9595,0,2,26.3,2,0,0,7,26.923999999999985,0.8,0,59.10049400592804,5.698670612749268,3.270055610029662,6.47,3.6528153564899446,43.47408681496663,2,0.3021226973628453,-0.4658887398426499,0
butyl acetate,CCCCOC(C)=O,126.1,116.15999999999998,1.3496,0,2,26.3,3,0,0,8,31.540999999999983,0.8333333333333334,0,68.92878689342031,6.405777393935816,3.770055610029662,7.470000000000001,4.624559505409582,49.83902892936324,2,0.3021228665755719,-0.465877873906326,0
ethyl formate,CCOC=O,54.3,74.07900000000001,0.1793,0,2,26.3,2,0,0,5,17.689999999999998,0.6666666666666666,0,26.07403392114697,4.121320343559642,2.414213562373095,4.469999999999999,3.47,30.744202586173408,2,0.2925654199437486,-0.4681951816440358,0
methyl propanoate,COC(=O)CC,79.8,88.10600000000001,0.5693999999999999,0,2,26.3,1,0,0,6,22.30699999999999,0.75,0,43.50977500432694,4.99156383156272,2.808060412490447,5.469999999999999,2.693713646532438,37.10914470057002,2,0.3047207314409239,-0.4690029502830051,0
methyl benzoate,COC(=O)c1ccccc1,199.6,136.14999999999998,1.4732,0,2,26.3,1,1,1,10,37.781500000000015,0.125,0,215.9590174505521,7.397341225498538,4.842535255101096,6.805074798619103,3.011779444695785,59.43635467784082,2,0.3373414268354429,-0.4654175231959395,0
ethyl benzoate,CCOC(=O)c1ccccc1,212.6,150.177,1.8633,0,2,26.3,2,1,1,11,42.39850000000003,0.2222222222222222,0,228.57786591623355,8.104448006685086,5.342535255101096,7.793199174406604,3.7604813030666033,65.80129679223742,2,0.337607126808069,-0.4623913259160252,0
dimethyl phthalate,COC(=O)c1ccccc1C(=O)OC,283.7,194.18599999999995,1.2597999999999998,0,4,52.60000000000001,2,1,1,14,49.12100000000002,0.2,0,321.89456038916694,10.55204176387779,6.701907262607798,10.242236842105264,4.411323399666699,81.44130623618467,4,0.3382301748364015,-0.4653986201728268,0
ethylene carbonate,O=C1OCCO1,248.0,88.062,0.1532,0,3,35.53,0,0,1,6,17.299999999999997,0.6666666666666666,1,60.43856189774725,4.405777393935816,2.893846850117352,3.459753320683112,1.1614173210320275,34.85191666215107,3,0.5080088228937092,-0.4306570076196085,0
methylamine,CN,-6.3,31.058,-0.4251,1,1,26.02,0,0,0,2,10.1114,1.0,0,2.0,2.0,1.0,1.96,0.9600000000000016,14.079141724842266,1,-0.019502380004263,-0.3332690547570713,0
dimethylamine,CNC,7.4,45.085,-0.1644000000000001,1,1,12.03,0,0,0,3,14.983700000000002,1.0,0,2.754887502163468,2.7071067811865475,1.4142135623730951,2.9600000000000004,1.96,20.6540553258342,1,-0.0167454325465478,-0.3227722106803942,0
trimethylamine,CN(C)C,2.9,59.112,0.1777999999999999,0,1,3.24,0,0,0,4,19.611,1.0,0,8.0,3.5773502691896257,1.7320508075688772,3.96,1.297837837837838,27.228968926826138,1,-0.0140010497827221,-0.3124319659317336,0
ethylamine,CCN,16.6,45.085,-0.0349999999999998,1,1,26.02,0,0,0,3,14.728400000000002,1.0,0,2.754887502163468,2.7071067811865475,1.4142135623730951,2.9600000000000004,1.96,20.444083839238875,1,-0.0105762658292064,-0.3307484184390755,0
diethylamine,CCNCC,55.5,73.139,0.6157999999999999,1,1,12.03,2,0,0,5,24.217699999999997,1.0,0,11.119415478763749,4.121320343559642,2.414213562373095,4.960000000000001,3.96,33.38393955462742,1,-0.0077513611275276,-0.317281591027501,0
triethylamine,CCN(CC)CC,89.5,101.193,1.3481,0,1,3.24,3,0,0,7,33.46199999999998,1.0,0,25.651484454403228,5.698670612749268,3.346065214951232,6.96,4.127785234899329,46.32379527001597,1,-0.0047438541248239,-0.3041599430182366,0
propylamine,CCCN,48.0,59.11199999999999,0.3551000000000001,1,1,26.02,1,0,0,4,19.345400000000005,1.0,0,5.245112497836532,3.414213562373095,1.914213562373095,3.96,2.9600000000000004,26.809025953635484,1,-0.007990568627305,-0.3304839223850739,0
butylamine,CCCCN,77.8,73.139,0.7452000000000001,1,1,26.02,2,0,0,5,23.9624,1.0,0,11.119415478763749,4.121320343559642,2.414213562373095,4.960000000000001,3.96,33.17396806803209,1,-0.0077376425064202,-0.3304736813706357,0
cyclohexylamine,NC1CCCCC1,134.5,99.177,1.2778,1,1,26.02,0,0,1,7,31.06039999999999,1.0,1,46.14170945007629,5.112884175122364,3.393846850117352,5.10367816091954,2.3141072195146584,44.89802114329608,1,0.003877844068942,-0.3277117538242551,0
aniline,Nc1ccccc1,184.1,93.129,1.2688,1,1,26.02,0,1,1,7,30.8544,0.0,0,134.10736969541455,5.112884175122364,3.393846850117352,4.18611295681063,1.6461962159398054,42.77129381650968,1,0.0313475925912186,-0.3987288294865909,0
N-methylaniline,CNc1ccccc1,196.0,107.15599999999998,1.7283,1,1,12.03,1,1,1,8,35.98870000000001,0.1428571428571428,0,145.73281445033504,5.819990956308912,3.931851652578137,5.162450142450142,2.3586048594225155,49.34620741750161,1,0.0337042914585278,-0.3881220693538709,0
"N,N-dimethylaniline",CN(C)c1ccccc1,193.1,121.18299999999996,1.7526,0,1,3.24,1,1,1,9,40.76900000000002,0.25,0,167.1823264341432,6.69023444431199,4.304530452640311,6.144688279301746,2.533930223385564,55.92112101849355,1,0.0360487258155562,-0.3776614787127546,0
pyridine,c1ccncc1,115.2,79.10199999999998,1.0816,0,1,12.89,0,1,1,6,24.236999999999995,0.0,0,75.86113958768547,4.242640687119286,3.0,3.344174757281553,1.5525827127910268,36.65105110044348,1,0.0267287682952611,-0.264736970888988,0
2-methylpyridine,Cc1ccccn1,129.4,93.129,1.39002,0,1,12.89,0,1,1,7,28.973999999999997,0.1666666666666666,0,134.10736969541455,5.112884175122364,3.393846850117352,4.31260162601626,1.7349674800723751,43.01599321484009,1,0.0372146527339204,-0.2616124249449184,0
quinoline,c1ccnc2ccccc12,237.1,129.16199999999995,2.2348,0,1,12.89,0,2,2,10,41.74300000000002,0.0,0,275.7051383449476,6.811554787871634,4.9663264951887856,5.41760450263056,2.102543034625171,59.33271563217868,1,0.070143484473273,-0.256266728477736,0
chloromethane,CCl,-24.2,50.488,0.855,0,0,0.0,0,0,0,2,11.777,1.0,0,2.0,2.0,1.0,2.29,1.2900000000000005,19.042517254711225,1,0.0108391855738701,-0.1304306341985314,0
dichloromethane,ClCCl,39.6,84.93299999999999,1.4215,0,0,0.0,0,0,0,3,16.573,1.0,0,2.754887502163468,2.7071067811865475,1.4142135623730951,3.58,2.58,29.3457834815929,2,0.0967063903764919,-0.1091323299005052,0
chloroform,ClC(Cl)Cl,61.2,119.378,1.9864,0,0,0.0,0,0,0,4,21.347,1.0,0,8.0,3.5773502691896257,1.7320508075688772,4.87,2.128397932816538,39.64904970847457,3,0.1801066354777967,-0.0874115277790443,0
carbon tetrachloride,ClC(Cl)(Cl)Cl,76.7,153.823,2.5529,0,0,0.0,0,0,0,5,26.143,1.0,0,19.11941547876375,4.5,2.0,6.16,1.741848256920821,49.952315935356246,4,0.2656852112875352,-0.0664213028218838,0
chloroethane,CCCl,12.3,64.515,1.2451,0,0,0.0,0,0,0,3,16.394000000000002,1.0,0,2.754887502163468,2.7071067811865475,1.4142135623730951,3.2900000000000005,2.29,25.407459369107837,1,0.0194567003813329,-0.1270176561891577,0
"1,2-dichloroethane",ClCCCl,83.5,98.96,1.464,0,0,0.0,1,0,0,4,21.439999999999998,1.0,0,6.0,3.414213562373095,1.914213562373095,4.58,3.58,35.71072559598951,2,0.0358892034480996,-0.1254234307488161,0
trichloroethylene,ClC(=CCl)Cl,87.2,131.389,2.5017000000000005,0,0,0.0,0,0,0,5,25.642,0.0,0,42.85475297227335,4.284457050376173,2.270055610029662,5.609999999999999,2.826919739696312,45.324388790686925,3,0.1176031867403948,-0.0903590844896965,0
tetrachloroethylene,ClC(Cl)=C(Cl)Cl,121.3,165.834,3.0682,0,0,0.0,0,0,0,6,30.438,0.0,0,55.61727061434748,5.154700538379252,2.6427344100918364,6.900000000000001,2.975404326822096,55.6276550175686,4,0.1364417932720134,-0.0682208966360067,0
chlorobenzene,Clc1ccccc1,132.0,112.55899999999995,2.34,0,0,0.0,0,1,1,7,31.452,0.0,0,134.10736969541455,5.112884175122364,3.393846850117352,4.663609831029186,1.9871232675119368,47.73466934637863,1,0.0405484408941986,-0.0843444765249014,0
o-dichlorobenzene,Clc1ccccc1Cl,180.5,147.00399999999996,2.9934000000000003,0,0,0.0,0,1,1,8,36.46200000000001,0.0,0,162.63833891467198,5.983127663125442,3.804530452640311,5.9282051282051285,2.381840899625156,58.03793557326031,2,0.0591803442783615,-0.082713195464924,0
