compound,smiles,bp_celsius,MW,LogP,HBD,HBA,TPSA,RotBonds,AromaticRings,RingCount,HeavyAtoms,MolMR,FractionCSP3,NumAliphaticRings,BertzCT,Chi0,Chi1,Kappa1,Kappa2,LabuteASA,NumHeteroatoms,MaxPartialCharge,MinPartialCharge,NumStereocenters
thiophenol,Sc1ccccc1,169.1,110.18099999999995,1.9753,1,1,0.0,0,1,1,7,33.694,0.0,0,134.10736969541455,5.112884175122364,3.393846850117352,4.722207001522071,2.0299990576722062,48.58646978289869,1,0.0039920050653017,-0.1434268922977095,0
imidazole,c1cnc[nH]1,256.0,68.079,0.4096999999999999,1,1,28.68,0,1,1,5,18.5877,0.0,0,61.369930610534254,3.5355339059327378,2.5,2.4475296912114013,0.8845561128632765,29.86021152145777,2,0.0919096042606612,-0.3511767856458538,0
pyrimidine,c1ccncn1,124.0,80.08999999999999,0.4765999999999998,0,2,25.78,0,1,1,6,22.032,0.0,0,77.47078006212229,4.242640687119286,3.0,3.276850393700788,1.4998028396056793,35.870699081389986,2,0.1147574121761011,-0.2448319095615807,0
indole,c1ccc2[nH]ccc2c1,253.0,117.15099999999995,2.1678999999999995,1,0,15.79,0,2,2,9,38.29870000000001,0.0,0,278.54542122074673,6.104448006685086,4.4663264951887856,4.621116323679656,1.6217242815493544,53.32222807224648,1,0.0453393472977115,-0.3611762912891017,0
morpholine,C1COCCN1,128.9,87.122,-0.3938000000000001,1,2,21.26,0,0,1,6,23.688699999999997,1.0,1,23.019550008653876,4.242640687119286,3.0,4.088918918918919,2.157216946676406,37.49165363060507,2,0.0591080722455809,-0.3788125135797184,0
piperidine,C1CCNCC1,106.2,85.15,0.7599,1,1,12.03,0,0,1,6,26.72069999999999,1.0,1,19.40990953421706,4.242640687119286,3.0,4.127785234899329,2.189674338993739,38.7430505154948,1,-0.0048911400116898,-0.3167325809905548,0
piperazine,C1CNCCN1,146.0,86.138,-0.8208,2,2,24.06,0,0,1,6,25.739399999999996,1.0,1,21.019550008653876,4.242640687119286,3.0,4.088918918918919,2.157216946676406,37.92797058470623,2,0.0077229764777765,-0.3142057534497283,0
caprolactam,O=C1CCCCCN1,270.0,113.16,0.6766000000000001,1,1,29.1,0,0,1,8,31.477699999999988,0.8333333333333334,1,80.52932501298082,5.819990956308912,3.893846850117352,5.603868808567603,2.698435941004364,49.26951472993517,2,0.2194940503290275,-0.3561070295708626,0
D-limonene,CC1=CCC(=CC1)C(C)=C,176.0,134.22199999999998,3.229000000000002,0,0,0.0,1,0,1,10,45.88800000000003,0.4,1,204.07820003461555,7.560477932315068,4.698377302757663,7.328459869848157,2.8694839561664094,62.94908980731702,0,-0.0095398400683944,-0.0958382287814418,0
alpha-pinene,CC1=CCC2CC1C2(C)C,155.0,136.238,2.9987000000000013,0,0,0.0,0,0,3,10,43.75200000000002,0.8,3,186.21499122004107,7.35337115112852,4.621027033568037,6.450201165867344,1.6637425470500236,63.322464718156304,0,-0.0148922197047303,-0.0850129067501687,2
linalool,CC(C)=CCCC(C)(O)C=C,198.0,154.253,2.6698000000000013,1,1,20.23,4,0,0,11,49.485800000000026,0.6,0,150.25571236699292,8.905777393935816,4.97716239121621,10.44,4.345263593221741,69.43875774522651,1,0.0799543275016631,-0.386091502560853,1
gamma-terpinene,CC1=CCC(=CC1)C(C)C,183.0,136.238,3.308900000000002,0,0,0.0,1,0,1,10,45.91200000000003,0.6,1,170.4773317567079,7.560477932315068,4.698377302757663,7.585485232067512,3.0462804076265617,63.63869283950127,0,-0.0133454270617971,-0.0812226092219182,0
menthol,CC(C)C1CCC(C)CC1O,212.0,156.269,2.439500000000001,1,1,20.23,1,0,1,11,47.34980000000002,1.0,1,120.0411847243922,8.430721420318147,5.109060905280621,9.05124087591241,3.572828505247505,69.8121326560658,1,0.0572930255771365,-0.3928209088894812,3
camphor,CC1(C)C2CCC1(C)C(=O)C2,204.0,152.237,2.401700000000001,0,1,17.07,0,0,2,11,44.23600000000002,0.9,2,216.91266689075215,8.276020881938894,4.982998800364114,7.326147454014241,1.701311022684903,68.17358985038433,1,0.1390987462704969,-0.2990642887496957,2
acetic anhydride,CC(=O)OC(C)=O,139.8,102.089,0.096,0,3,43.370000000000005,0,0,0,7,22.44699999999999,0.5,0,83.10802962390817,5.861807319565799,3.125897657686229,6.14,2.3368296745854065,41.27066680061378,3,0.3097681903271179,-0.3935616726354605,0
maleic anhydride,O=C1OC(=O)C=C1,202.0,98.05699999999996,-0.3740000000000001,0,3,43.370000000000005,0,0,1,7,20.239,0.0,1,129.013897004163,5.276020881938894,3.2876937002347035,4.050068027210885,1.1831255636579143,39.5752326149003,3,0.3383914445416826,-0.3865752774787994,0
epsilon-caprolactone,O=C1CCCCCO1,215.0,114.144,1.1036,0,2,26.3,0,0,1,8,29.426999999999985,0.8333333333333334,1,78.52932501298082,5.819990956308912,3.893846850117352,5.603868808567603,2.698435941004364,48.833197775834,2,0.3052775335658631,-0.4656750027435766,0
N-methyl-2-pyrrolidone,CN1CCCC1=O,202.0,99.133,0.2385999999999999,0,1,20.31,0,0,1,7,26.870999999999988,0.8,1,90.08094399727418,5.276020881938894,3.304530452640311,4.624559505409582,1.5234757718400516,43.11454410213389,2,0.2218735635044728,-0.3457489149497736,0
propylene carbonate,CC1COC(=O)O1,242.0,102.08899999999998,0.5417000000000001,0,3,35.53,0,0,1,7,21.89499999999999,0.75,1,88.93569696954752,5.276020881938894,3.287693700234704,4.429489633173843,1.4049321347683748,41.21685877654767,3,0.5082899390744735,-0.4303457162325387,1
dimethyl carbonate,COC(=O)OC,90.0,90.078,0.3992,0,3,35.53,0,0,0,6,19.413999999999994,0.6666666666666666,0,44.0,4.99156383156272,2.808060412490447,5.27,2.504192037470726,35.8577478156803,3,0.5071977938803105,-0.4376213233778794,0
methyl lactate,CC(O)C(=O)OC,144.8,104.105,-0.4598000000000002,1,3,46.53,1,0,0,7,23.696799999999996,0.75,0,67.33515884998701,5.861807319565799,3.1807392125526213,6.43,2.5774208427157883,41.903378452766034,3,0.3338823215117265,-0.467104464840883,1
ethyl lactate,CC(O)C(=O)OCC,154.0,118.132,-0.0697000000000001,1,3,46.53,2,0,0,8,28.313799999999983,0.8,0,77.74296763342026,6.568914100752347,3.680739212552621,7.43,3.43425867993602,48.26832056716263,3,0.3341476893029562,-0.464078219287178,1
furfural,O=Cc1ccco1,161.7,96.08499999999998,1.0920999999999998,0,2,30.21,1,1,1,7,24.095499999999998,0.0,0,141.1235805057187,5.112884175122364,3.431851652578137,4.118067226890756,1.598931214740438,40.75219659801417,2,0.1848008664958697,-0.4615648134016627,0
hydroxymethylfurfural,OCC1=CC=C(C=O)O1,291.5,126.11099999999998,0.5844,1,3,50.44,2,1,1,9,30.01829999999999,0.1666666666666666,0,201.82281909596475,6.69023444431199,4.363703305156274,6.036422250316056,2.457568886884076,51.91137246460679,3,0.1848197825335998,-0.4558356563162004,0
gamma-butyrolactone,O=C1CCCO1,204.0,86.09,0.3234,0,2,26.3,0,0,1,6,20.192999999999994,0.75,1,59.94833690207419,4.405777393935816,2.893846850117352,3.6528153564899446,1.2857540807770496,36.10331354704079,2,0.3054098413055002,-0.4656565571727221,0
succinic anhydride,O=C1CCC(=O)O1,261.0,100.073,-0.15,0,3,43.370000000000005,0,0,1,7,20.332999999999995,0.5,1,102.10331482049531,5.276020881938894,3.287693700234704,4.3028664495114,1.3295815851589805,40.26483564708455,3,0.3135221833168404,-0.3931240808770767,0
triethyl phosphate,CCOP(=O)(OCC)OCC,215.0,182.156,2.204,0,4,44.760000000000005,6,0,0,11,42.48450000000001,1.0,0,112.769535289866,8.742640687119287,5.181980515339465,11.11,5.7213645832552,67.4542079628083,5,0.4742480477050508,-0.2871683552461137,0
